epoch,Sensitivity,Specificity,accuracy,auc,fn,fp,loss,lr,prc,precision,recall,tn,tp,val_Sensitivity,val_Specificity,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.9410675764083862,0.9542694687843323,0.8925684690475464,0.8843575716018677,7596.0,7489.0,0.9206711053848267,0.001,0.6576297879219055,0.7323062419891357,0.7295160889625549,104843.0,20487.0,0.9347206354141235,0.9566704630851746,0.8941847085952759,0.8945680260658264,928.0,928.0,0.8951075673103333,0.6927847862243652,0.7354618310928345,0.7354618310928345,13104.0,2580.0
1,0.945554256439209,0.9558718800544739,0.8939856886863708,0.8906556367874146,7443.0,7443.0,0.8743771910667419,0.001,0.6746055483818054,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.9472634196281433,0.9606613516807556,0.8941847085952759,0.8967422246932983,928.0,928.0,0.8717644810676575,0.6960527300834656,0.7354618310928345,0.7354618310928345,13104.0,2580.0
2,0.9473347067832947,0.9562101364135742,0.8939856886863708,0.8919288516044617,7443.0,7443.0,0.870750367641449,0.001,0.6816971302032471,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.938141405582428,0.9645096659660339,0.8941847085952759,0.8981190919876099,928.0,928.0,0.8613844513893127,0.7051406502723694,0.7354618310928345,0.7354618310928345,13104.0,2580.0
3,0.9470497965812683,0.9579371809959412,0.8939856886863708,0.8937013149261475,7443.0,7443.0,0.8676164746284485,0.001,0.6878207921981812,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.9427024126052856,0.9642959237098694,0.8941847085952759,0.8989866375923157,928.0,928.0,0.8598173260688782,0.7051325440406799,0.7354618310928345,0.7354618310928345,13104.0,2580.0
4,0.9493287801742554,0.9590054750442505,0.8939856886863708,0.8939417004585266,7444.0,7442.0,0.8669719696044922,0.001,0.687426745891571,0.7349809408187866,0.7349286079406738,104890.0,20639.0,0.9486886858940125,0.9634407162666321,0.8941847085952759,0.8992530107498169,928.0,928.0,0.8790475130081177,0.705625593662262,0.7354618310928345,0.7354618310928345,13104.0,2580.0
5,0.9512160420417786,0.958738386631012,0.8939856886863708,0.8948583602905273,7443.0,7443.0,0.8640555739402771,0.001,0.6919017434120178,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.9521094560623169,0.9635119438171387,0.8941847085952759,0.8995309472084045,928.0,928.0,0.8538257479667664,0.7069395780563354,0.7354618310928345,0.7354618310928345,13104.0,2580.0
6,0.9504326581954956,0.9577413201332092,0.8939642906188965,0.8947039842605591,7446.0,7443.0,0.8642353415489197,0.001,0.6913418769836426,0.7349358797073364,0.7348573803901672,104889.0,20637.0,0.9281641840934753,0.9560290575027466,0.8941847085952759,0.8914154767990112,928.0,928.0,0.8700034618377686,0.671893298625946,0.7354618310928345,0.7354618310928345,13104.0,2580.0
7,0.9475483298301697,0.9580351114273071,0.8939501047134399,0.8923934102058411,7448.0,7443.0,0.8677250146865845,0.001,0.6803820729255676,0.7349170446395874,0.7347861528396606,104889.0,20635.0,0.9503991007804871,0.9642959237098694,0.8941847085952759,0.8993349075317383,928.0,928.0,0.8716861605644226,0.707391619682312,0.7354618310928345,0.7354618310928345,13104.0,2580.0
8,0.949578046798706,0.9610707759857178,0.8939856886863708,0.8976215124130249,7443.0,7443.0,0.8573818206787109,0.0005,0.7027348279953003,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.9521094560623169,0.965008556842804,0.8941847085952759,0.8997968435287476,928.0,928.0,0.8526276350021362,0.7091562747955322,0.7354618310928345,0.7354618310928345,13104.0,2580.0
9,0.947868824005127,0.9625217914581299,0.8939856886863708,0.8982645273208618,7443.0,7443.0,0.856170654296875,0.0005,0.7041354775428772,0.7349641919136047,0.7349641919136047,104889.0,20640.0,0.9521094560623169,0.9627993106842041,0.8941847085952759,0.892888069152832,928.0,928.0,0.8682376146316528,0.701704204082489,0.7354618310928345,0.7354618310928345,13104.0,2580.0
