epoch,Sensitivity,Specificity,accuracy,auc,fn,fp,loss,lr,prc,precision,recall,tn,tp,val_Sensitivity,val_Specificity,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.7305487394332886,0.9330644607543945,0.8416337370872498,0.8018510937690735,11174.0,11063.0,5.03771448135376,0.001,0.5531841516494751,0.6044973731040955,0.6021080613136292,101269.0,16909.0,0.7534207701683044,0.9473346471786499,0.8785632848739624,0.835634708404541,1066.0,1064.0,4.793503761291504,0.6303625702857971,0.6965202689170837,0.6961231231689453,12968.0,2442.0
1,0.7372431755065918,0.9381654262542725,0.8454580903053284,0.8085784912109375,10906.0,10794.0,4.940579414367676,0.001,0.566213071346283,0.6141003370285034,0.6116511821746826,101538.0,17177.0,0.7474344372749329,0.9427024126052856,0.8516533374786377,0.8170940279960632,1304.0,1298.0,5.709966659545898,0.5825222134590149,0.6293546557426453,0.6282781958580017,12734.0,2204.0
2,0.7429405450820923,0.9411743879318237,0.8497809767723083,0.8139092922210693,10591.0,10502.0,4.869060039520264,0.001,0.5767843127250671,0.6248481869697571,0.6228679418563843,101830.0,17492.0,0.593500554561615,0.8114309906959534,0.7602052688598633,0.6837170720100403,2112.0,2094.0,6.582294464111328,0.3462618589401245,0.4000000059604645,0.3979475498199463,11938.0,1396.0
3,0.7371719479560852,0.9400438070297241,0.849026083946228,0.8108562231063843,10656.0,10543.0,4.949620723724365,0.001,0.5723294019699097,0.623060405254364,0.6205533742904663,101789.0,17427.0,0.7662485837936401,0.9496864080429077,0.8688141107559204,0.8369969725608826,1152.0,1149.0,5.0827155113220215,0.621721625328064,0.6721826195716858,0.6716077327728271,12883.0,2356.0
4,0.7502047419548035,0.9416906833648682,0.852387547492981,0.8184506893157959,10411.0,10316.0,4.729262351989746,0.001,0.5829790830612183,0.631413459777832,0.6292775273323059,102016.0,17672.0,0.7716647386550903,0.9508979320526123,0.8854618072509766,0.8475746512413025,1006.0,1003.0,5.2193217277526855,0.6519024968147278,0.7138373851776123,0.7132269144058228,13029.0,2502.0
5,0.7442224621772766,0.9430171251296997,0.8523804545402527,0.8159354329109192,10411.0,10317.0,4.894137859344482,0.001,0.579679548740387,0.6313909292221069,0.6292775273323059,102015.0,17672.0,0.7448688745498657,0.9357896447181702,0.8471493721008301,0.8121076226234436,1349.0,1332.0,4.9265360832214355,0.5702307224273682,0.6184474229812622,0.615450382232666,12700.0,2159.0
6,0.7498486638069153,0.9448421001434326,0.8529928922653198,0.8190046548843384,10366.0,10276.0,4.689245223999023,0.001,0.5853099822998047,0.6329082250595093,0.6308798789978027,102056.0,17717.0,0.7494298815727234,0.9430587291717529,0.89207524061203,0.8403404951095581,947.0,946.0,7.137001037597656,0.6440739631652832,0.7302537560462952,0.7300456166267395,13086.0,2561.0
7,0.7482818961143494,0.944023072719574,0.8539044857025146,0.8189311623573303,10309.0,10205.0,4.7812910079956055,0.001,0.5851012468338013,0.635262131690979,0.6329095959663391,102127.0,17774.0,0.652508556842804,0.8526225686073303,0.788825511932373,0.7267919778823853,1870.0,1834.0,6.195126533508301,0.41211235523223877,0.4717741906642914,0.4669327139854431,12198.0,1638.0
8,0.7506320476531982,0.9441210031509399,0.8543317914009094,0.8202151656150818,10271.0,10183.0,4.643240928649902,0.001,0.586958646774292,0.6362564563751221,0.63426274061203,102149.0,17812.0,0.7357468605041504,0.9312998652458191,0.8389395475387573,0.8036760687828064,1422.0,1403.0,5.070847511291504,0.5506717562675476,0.5978790521621704,0.5946407914161682,12629.0,2086.0
9,0.7498486638069153,0.9442456364631653,0.8554214239120483,0.8206441402435303,10186.0,10115.0,4.836777210235596,0.001,0.5887839794158936,0.6389047503471375,0.6372894644737244,102217.0,17897.0,0.7622576951980591,0.9496151804924011,0.8747434616088867,0.8387365341186523,1101.0,1096.0,5.270073413848877,0.6330759525299072,0.6871253252029419,0.6861459612846375,12936.0,2407.0
10,0.7954990267753601,0.9508421421051025,0.8625004291534424,0.8425236344337463,9724.0,9583.0,3.3267126083374023,0.0005,0.6240308284759521,0.6570395827293396,0.6537407040596008,102749.0,18359.0,0.7787913084030151,0.9094926118850708,0.8232611417770386,0.8023225665092468,1573.0,1527.0,3.8744771480560303,0.5278661251068115,0.558925449848175,0.5515963435173035,12505.0,1935.0
11,0.8117722272872925,0.953165590763092,0.863055944442749,0.8493832945823669,9712.0,9517.0,2.928117275238037,0.0005,0.6355944871902466,0.6587421298027039,0.6541680097579956,102815.0,18371.0,0.7200683951377869,0.8467788100242615,0.7846636176109314,0.7419571876525879,1916.0,1861.0,4.827134609222412,0.41160377860069275,0.4610483646392822,0.4538198411464691,12171.0,1592.0
12,0.8101698756217957,0.9514831304550171,0.8612256646156311,0.8478096127510071,9847.0,9639.0,2.959506034851074,0.0005,0.6320177912712097,0.6542062759399414,0.6493608355522156,102693.0,18236.0,0.7585518956184387,0.874358594417572,0.8003990650177002,0.7753258943557739,1774.0,1727.0,3.7577595710754395,0.4672882854938507,0.5010112524032593,0.4942987561225891,12305.0,1734.0
13,0.8181462287902832,0.952088475227356,0.8622583150863647,0.8510836958885193,9770.0,9571.0,2.7950284481048584,0.0005,0.6373910903930664,0.656756579875946,0.6521027088165283,102761.0,18313.0,0.793899655342102,0.9216077327728271,0.8332383036613464,0.821002721786499,1467.0,1458.0,3.9078707695007324,0.5560548901557922,0.583309531211853,0.5818129777908325,12574.0,2041.0
14,0.8219919800758362,0.9528451561927795,0.8632054924964905,0.8530428409576416,9708.0,9500.0,2.7021868228912354,0.0005,0.6396823525428772,0.6591928005218506,0.6543104648590088,102832.0,18375.0,0.781641960144043,0.9570980668067932,0.8774230480194092,0.8442755341529846,1083.0,1067.0,3.859572410583496,0.6393594741821289,0.6944444179534912,0.6912770867347717,12965.0,2425.0
15,0.8280454277992249,0.9542427659034729,0.8639318943023682,0.8559582829475403,9659.0,9447.0,2.6324234008789062,0.0005,0.6441426873207092,0.6610455513000488,0.6560552716255188,102885.0,18424.0,0.8138540387153625,0.9480473399162292,0.8602052330970764,0.8472806811332703,1231.0,1221.0,3.8630940914154053,0.6225743293762207,0.650943398475647,0.6490877866744995,12811.0,2277.0
16,0.827226459980011,0.9527294039726257,0.8624434471130371,0.8544039726257324,9773.0,9542.0,2.6009128093719482,0.0005,0.6405336260795593,0.6574034094810486,0.6519958972930908,102790.0,18310.0,0.7936145663261414,0.9582383036613464,0.8797035217285156,0.851973295211792,1060.0,1050.0,3.6090235710144043,0.6512728929519653,0.6998284459114075,0.6978335380554199,12982.0,2448.0
17,0.8272620439529419,0.952987551689148,0.863319456577301,0.8548546433448792,9701.0,9491.0,2.594352960586548,0.0005,0.6431713104248047,0.659491240978241,0.6545596718788147,102841.0,18382.0,0.8041619062423706,0.9224629402160645,0.8327252268791199,0.8199281692504883,1484.0,1450.0,3.3726561069488525,0.5498514771461487,0.5826137065887451,0.5769669413566589,12582.0,2024.0
18,0.8321760296821594,0.9536908268928528,0.8631342649459839,0.8570762872695923,9725.0,9493.0,2.521056652069092,0.0005,0.645743191242218,0.6591504812240601,0.6537050604820251,102839.0,18358.0,0.7944697737693787,0.9597349166870117,0.8812428712844849,0.8516671061515808,1049.0,1034.0,3.4551894664764404,0.6534266471862793,0.7039793729782104,0.7009692192077637,12998.0,2459.0
19,0.8253035545349121,0.9519281983375549,0.8616102337837219,0.8533742427825928,9837.0,9595.0,2.5931358337402344,0.0005,0.63926762342453,0.6553643941879272,0.6497169137001038,102737.0,18246.0,0.8195552825927734,0.946265697479248,0.8569555282592773,0.8485162258148193,1263.0,1246.0,3.4028098583221436,0.6244964599609375,0.6430822014808655,0.6399657726287842,12786.0,2245.0
20,0.8307517170906067,0.9524089097976685,0.8622440695762634,0.8557474613189697,9778.0,9565.0,2.4739198684692383,0.0005,0.6421780586242676,0.6567994356155396,0.651817798614502,102767.0,18305.0,0.8098631501197815,0.950541615486145,0.8580387830734253,0.8440813422203064,1259.0,1231.0,3.2630112171173096,0.6214584112167358,0.646264374256134,0.6411060690879822,12801.0,2249.0
21,0.8285083770751953,0.9517679810523987,0.8623936176300049,0.8540903329849243,9789.0,9533.0,2.517089366912842,0.0005,0.6389181613922119,0.6574190258979797,0.6514261364936829,102799.0,18294.0,0.8204104900360107,0.9286630749702454,0.8375142812728882,0.82987380027771,1446.0,1404.0,3.315534830093384,0.5805132985115051,0.5949221253395081,0.5877993106842041,12628.0,2062.0
22,0.8275468945503235,0.9525869488716125,0.8619592189788818,0.8540131449699402,9815.0,9568.0,2.5629138946533203,0.0005,0.639498233795166,0.6562724709510803,0.6505002975463867,102764.0,18268.0,0.7924743294715881,0.9575968980789185,0.8723489046096802,0.8455681800842285,1130.0,1109.0,3.5735690593719482,0.6408810615539551,0.6819615960121155,0.6778791546821594,12923.0,2378.0
23,0.8308941125869751,0.9526136517524719,0.8627141118049622,0.8559874892234802,9760.0,9517.0,2.5018625259399414,0.0005,0.643422544002533,0.6581537127494812,0.6524587869644165,102815.0,18323.0,0.7887685298919678,0.9588797092437744,0.8787343502044678,0.8480669260025024,1070.0,1057.0,3.4404380321502686,0.6473966836929321,0.6975679397583008,0.6949828863143921,12975.0,2438.0
24,0.875333845615387,0.958640456199646,0.870704710483551,0.8775023221969604,9257.0,8898.0,1.848437786102295,0.00025,0.6792333126068115,0.679050624370575,0.6703699827194214,103434.0,18826.0,0.8335233926773071,0.9543187022209167,0.8691562414169312,0.8534925580024719,1165.0,1130.0,2.6575307846069336,0.6390994191169739,0.6746329069137573,0.6679019331932068,12902.0,2343.0
